Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
Jõeküla tee 14-16,219000,2979.59,"Haabersti linnaosa, Tallinn, Harju maakond",73.5,3,N/A,2008,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-joekula-tee/4067499?i=3
J. Poska tn 7,349000,3355.77,"Kadriorg, Tallinn, Harju maakond",104,3,3/3,1949,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kadriorg-j-poska-tn/7462462?i=4
Tuvi tn 12/1,430000,3909.09,"Kesklinna linnaosa, Tallinn, Harju maakond",110,4,2/8,2002,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-tuvi-tn/1157562?i=5
Siili tn 10,149000,2462.81,"Mustamäe linnaosa, Tallinn, Harju maakond",60.5,3,1/5,1971,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-siili-tn/2251679?i=6
Vanemuise tn 69a,151000,2435.48,"Nõmme linnaosa, Tallinn, Harju maakond",62,3,2/3,1980,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-nomme-linnaosa-vanemuise-tn/6045759?i=7
Karu tn 39,65650,3392.76,"Kesklinna linnaosa, Tallinn, Harju maakond",19.35,1,4/5,1990,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-karu-tn/1825503?i=8
Madala tn 28,102000,2595.42,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",39.3,2,4/4,1961,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-madala-tn/3030042?i=9
Mahtra tn 20,149500,2151.08,"Lasnamäe linnaosa, Tallinn, Harju maakond",69.5,3,1/5,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-mahtra-tn/8667060?i=10
Linnamäe tee 45,147000,1846.73,"Lasnamäe linnaosa, Tallinn, Harju maakond",79.6,4,4/9,1986,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-linnamae-tee/6929217?i=11
Paldiski mnt 42-5,126000,3937.5,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",32,2,2/3,1940,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-paldiski-mnt/6615237?i=12
